mag_threshold,dir_threshold,sl_multiplier,tp_multiplier,regime,n_signals,n_trades,total_pnl,total_pnl_usd,win_rate,profit_factor,expectancy,sharpe,sortino,max_dd,calmar,avg_bars_held
0.3,0.55,2.0,2.0,False,142,39,-327.8100000000001,-655.6200000000002,0.4358974358974359,0.3438944819166183,-8.405384615384618,-4.387455192568358,-4.025015550218721,-350.98000000000025,-0.9339848424411644,10.051282051282051
0.3,0.55,2.0,3.0,False,142,36,-220.18999999999994,-440.3799999999999,0.3888888888888889,0.5406775418248572,-6.1163888888888875,-2.9151783639145,-2.9342285287887155,-318.84,-0.6905971647221175,13.0
0.3,0.55,2.0,4.0,False,142,34,-253.10999999999999,-506.21999999999997,0.35294117647058826,0.4697934559470443,-7.444411764705882,-3.5165362305506607,-3.5747520561540913,-302.01000000000005,-0.8380848316280916,13.970588235294118
0.3,0.55,2.0,5.0,False,142,34,-254.85999999999999,-509.71999999999997,0.3235294117647059,0.4858272641071681,-7.495882352941176,-3.476040211657228,-3.679514343800871,-310.29999999999995,-0.8213341927167258,15.117647058823529
0.3,0.55,3.0,2.0,False,142,32,-318.78,-637.56,0.53125,0.3048844308765809,-9.961875,-4.521336194875951,-3.7740359666417165,-364.88999999999993,-0.873633149716353,12.875
0.3,0.55,3.0,3.0,False,142,29,-220.9099999999999,-441.8199999999998,0.4827586206896552,0.5034056423513544,-7.617586206896549,-3.135599305766924,-2.889880471052775,-350.7699999999999,-0.6297858995923253,16.75862068965517
0.3,0.55,3.0,4.0,False,142,27,-282.83,-565.66,0.4074074074074074,0.38997929428004496,-10.475185185185184,-4.265489692871715,-4.11042635043041,-333.81000000000006,-0.8472783918995834,18.14814814814815
0.3,0.55,3.0,5.0,False,142,27,-283.08,-566.16,0.37037037037037035,0.4153414019579496,-10.484444444444444,-4.1871408849866345,-4.235260591473983,-340.59999999999997,-0.8311215502055197,20.14814814814815
0.4,0.55,0.75,2.0,False,41,18,-265.97,-531.94,0.2777777777777778,0.15637390173502078,-14.776111111111113,-5.9845832827552,-5.554112552963141,-261.77,-1.016044619322306,2.888888888888889
0.4,0.55,0.75,3.0,False,41,15,-264.59999999999997,-529.1999999999999,0.2,0.14015533097195593,-17.639999999999997,-6.632281745747046,-6.412452293876903,-271.18999999999994,-0.9756996939415171,3.6
0.4,0.55,0.75,4.0,False,41,15,-226.59999999999994,-453.1999999999999,0.2,0.2636402040750008,-15.106666666666662,-5.327427165645426,-5.4915407777494565,-271.18999999999994,-0.8355765330580036,3.933333333333333
0.4,0.55,0.75,5.0,False,41,15,-262.35,-524.7,0.13333333333333333,0.1959113617556012,-17.490000000000002,-6.284562056437675,-6.610812073650464,-299.27,-0.8766331406422295,5.6
0.4,0.55,1.0,2.0,False,41,16,-276.14,-552.28,0.25,0.13021292679853846,-17.25875,-6.6738672858011086,-6.3070062098835145,-262.34999999999997,-1.0525633695445018,3.5
0.4,0.55,1.0,3.0,False,41,14,-265.81,-531.62,0.21428571428571427,0.13960639606396064,-18.986428571428572,-6.92031806415614,-6.6949499278714955,-267.65,-0.9931253502708762,3.9285714285714284
